product_code,cluster,cluster_id
42710,-1,noise
42700,-1,noise
32212,-1,noise
19210100,-1,noise
43120,-1,noise
190181,-1,noise
180150,-1,noise
44380,-1,noise
13410600,-1,noise
13000906,-1,noise
144014,-1,noise
13420006,-1,noise
42903,-1,noise
SP1333,-1,noise
94572,-1,noise
19020040,-1,noise
42430,-1,noise
156000,-1,noise
19900002,-1,noise
SP131,-1,noise
16606139,-1,noise
16290110,-1,noise
16290090,-1,noise
16280200,-1,noise
16200600,-1,noise
19410001,-1,noise
46800,-1,noise
19410000,-1,noise
43540,-1,noise
SP139,-1,noise
190016,-1,noise
18106021,-1,noise
49010,-1,noise
190032,-1,noise
SP1027,-1,noise
SP114,-1,noise
SP1141,-1,noise
190755,-1,noise
190807,-1,noise
190072,-1,noise
190817,-1,noise
190031,-1,noise
47001,-1,noise
47000,-1,noise
190041,-1,noise
190011,-1,noise
193001,-1,noise
SP1026,-1,noise
190179,-1,noise
190006,-1,noise
11910404,-1,noise
41620,-1,noise
19550066,-1,noise
41740,-1,noise
16312000,-1,noise
16308000,-1,noise
16311400,-1,noise
16310412,-1,noise
16311401,-1,noise
16310023,-1,noise
16300500,-1,noise
10151400,-1,noise
SP1460,-1,noise
19630025,-1,noise
190009,-1,noise
97735830,-1,noise
12000401,-1,noise
12000600,-1,noise
43770,-1,noise
40201,-1,noise
12321414,-1,noise
12110408,-1,noise
12110116,-1,noise
12140540,-1,noise
12101514,-1,noise
12100514,-1,noise
12100800,-1,noise
12320110,-1,noise
43700,-1,noise
12350118,-1,noise
12131415,-1,noise
13142005,-1,noise
12131044,-1,noise
SP1322,-1,noise
SP1822,-1,noise
41552,-1,noise
14100400,-1,noise
14400512,-1,noise
14440414,-1,noise
14472300,-1,noise
14400200,-1,noise
14600000,-1,noise
10010000,-1,noise
SP130,-1,noise
34098,-1,noise
40366,-1,noise
46920,-1,noise
13301900,-1,noise
35174,-1,noise
46000,-1,noise
46000,-1,noise
13309602,-1,noise
13301623,-1,noise
41501,-1,noise
160007,-1,noise
160003,-1,noise
160004,-1,noise
