cluster,size,coherence
0,5,0.7642343521118165
1,7,0.31668009076799664
2,13,0.6814341422839042
3,5,0.8417142868041992
4,8,0.5837452071053642
5,5,0.6860552787780761
6,26,0.7145942570612981
7,6,0.758556874593099
8,5,0.6628664970397949
9,5,0.8618297576904297
10,5,0.6674534320831299
11,8,0.7499497958592006
12,9,0.655121750301785
13,5,0.875305461883545
14,7,0.7120661962599981
15,5,0.6810167312622071
16,8,0.7125094277518136
17,8,0.7360789435250419
18,9,0.7120290332370334
19,10,0.682932620578342
20,5,0.7406728744506836
21,6,0.6182959238688152
22,12,0.6588124361905184
23,12,0.7681477864583334
24,8,0.8829078674316406
25,5,0.8086148262023926
26,17,0.7266570259543026
27,7,0.8831629071916852
28,9,0.7281680107116699
29,12,0.7783724466959635
30,22,0.5800131925772795
31,5,0.9117680549621582
32,8,0.7305359159197126
33,9,0.6210459603203667
34,10,0.697091547648112
35,7,0.7163175855364118
36,19,0.6585395322208516
37,5,0.8828604698181153
38,6,0.7968422571818033
39,6,0.7592529932657878
40,6,0.7302717844645182
41,8,0.7546069281441825
42,6,0.7361977895100912
43,12,0.6419615312056108
44,6,0.7709770202636719
45,12,0.6285344904119318
46,7,0.8149010794503349
47,17,0.668235273922191
48,7,0.7661457970028832
49,11,0.6704085610129616
50,9,0.7782832251654731
51,9,0.7576369179619683
52,5,0.8778016090393066
53,6,0.7674201965332031
54,5,0.8042812347412109
55,6,0.7808843612670898
56,8,0.7081759316580636
57,7,0.8547899155389695
58,7,0.8873243786039806
59,5,0.8740989685058593
60,7,0.9532022022065663
61,17,0.7774606592514935
62,11,0.8294919100674716
63,15,0.6382032121930804
64,7,0.6230081830705915
65,5,0.7999906063079834
66,6,0.7370950698852539
67,42,0.689843508978477
68,5,0.8862887382507324
69,6,0.754344622294108
70,5,0.8207669258117676
71,36,0.6061676994202629
72,5,0.7746277809143066
73,6,0.5876014073689778
74,12,0.6854680379231771
75,12,0.7229240879868016
76,12,0.6875239285555753
77,8,0.7821194103785923
78,5,0.8487340927124023
79,18,0.7818639418658089
80,5,0.8186524391174317
81,7,0.6338464646112352
82,12,0.6211116675174597
83,6,0.7206546783447265
84,21,0.8888608660016741
85,20,0.724776177657278
86,7,0.749897457304455
87,9,0.8494284947713217
88,6,0.8128089269002279
89,12,0.6688321431477865
90,10,0.6583801693386502
91,6,0.755717404683431
92,15,0.7619806925455729
93,9,0.6892933315700955
94,6,0.7539605458577474
95,5,0.8238194465637207
96,10,0.6532520718044705
97,6,0.7384548823038737
98,6,0.8146412531534831
99,7,0.7925553094773066
100,20,0.6690501965974507
101,11,0.7401761141690341
102,16,0.6501190185546875
103,15,0.7067898704892113
104,12,0.7086519183534564
105,12,0.6131090106386127
106,7,0.6842257181803385
107,12,0.7599149761777936
