product_id,cluster_id,gross_margin,z_score
76021459,cluster_1000,0.7939234449760765,2.552690984533335
17019A12,cluster_1003,-12.26086956521739,-2.032181011202027
15041010,cluster_1005,1.0,4.105113068315119
19111010,cluster_1007,0.898989898989899,2.6093476543407133
15191012,cluster_1009,1.0,3.678876449505411
10069C,cluster_1012,1.0,2.017459676682578
10069803,cluster_1012,1.0,2.017459676682578
16301310,cluster_1015,0.39828080229226365,2.8480557759636116
1037115,cluster_1017,0.20569796170475607,-3.7499999999999987
10636556,cluster_1018,0.21068427370948378,-2.253192723611523
10636546,cluster_1018,0.2106782713085234,-2.2532129735428446
10151,cluster_1020,0.17840375586854457,-2.2693722284338715
10724X,cluster_1020,0.24044943820224723,-2.0636043429399487
101511,cluster_1020,0.16258215962441314,-2.3218428642918827
101514,cluster_1020,0.2253922967189729,-2.113539746147099
10065204,cluster_1026,-0.07174400000000006,-2.1000196382965974
10067550,cluster_1026,-0.15879163439194427,-2.320878624771728
37036,cluster_1044,-0.8324022346368714,-2.1225458168162197
16051216,cluster_1046,0.11018363939899835,-2.0048579796127717
54001470,cluster_1060,1.0,2.671719863050984
10655,cluster_1105,0.6075949367088608,2.4815510000223666
57001220,cluster_1115,-0.06862068965517251,-2.289907337077858
52013390,cluster_1116,-0.20111731843575412,-2.6252827614424508
17091317,cluster_1118,-0.9051575931232091,-2.466742316516118
55008120,cluster_1123,1.0,3.633943856725349
53051040,cluster_1131,0.46449704142011833,2.4398309675699954
53051360,cluster_1133,-0.5276521739130435,-3.8074626450164253
20203,cluster_1136,-1.0881599999999998,-3.474685343385639
13329047,cluster_1142,0.23170556552962304,-2.2677868380553634
41109980,cluster_1147,1.0,2.183103334227983
41149990,cluster_1147,1.0,2.183103334227983
310120,cluster_1151,1.0,2.8112185667332836
15101004,cluster_1158,-0.24721603563474373,-2.012496407713151
15109984,cluster_1158,1.0,3.9695322056060216
321000,cluster_1168,1.0,2.936894232968393
59999999,cluster_1173,-30.155778894472363,-2.666534614673133
160072,cluster_1183,1.0,2.661791923302578
13209157,cluster_1192,1.0,2.5866111355937944
47054160,cluster_1198,-0.22315384615384617,-2.4616983787877866
43029990,cluster_1203,1.0,3.074688739802904
43021190,cluster_1203,1.0,3.074688739802904
22126,cluster_1207,1.0,2.7325994908599402
82011350,cluster_1217,1.0,2.532956086004737
82011350,cluster_1217,1.0,2.532956086004737
44031060,cluster_1222,0.3836477987421384,3.226680228266026
620054,cluster_1224,1.0,2.0170286622762315
190827,cluster_1229,1.0,2.2677049508314018
14193574,cluster_1235,-0.04005340453938582,-2.184070933253531
13191024,cluster_1236,-0.39941569282136896,-2.4593969291139994
45129990,cluster_1249,1.0,3.134237411063
45081010,cluster_1249,-0.3662626262626263,-2.454135363072867
140030,cluster_1252,1.0,3.1700695877883107
