cluster_id,product_count,mean_margin,median_margin,std_margin,min_margin,max_margin,margin_range,high_variance
cluster_100,2,-0.8630656957131003,-0.8630656957131003,1.9950094962531322,-2.2737504390452483,0.5476190476190477,2.821369486664296,True
cluster_1000,11,0.22658903799999194,0.16666666666666663,0.22224954387881013,-0.038610038610038644,0.7939234449760765,0.8325334835861151,True
cluster_1001,7,0.14419973732548294,0.13840830449826985,0.07257334490248005,0.05899705014749267,0.2831541218637993,0.2241570717163066,False
cluster_1002,4,0.19010005528875068,0.1917017345399698,0.02631826011058605,0.15634969325153364,0.22064705882352942,0.06429736557199578,False
cluster_1003,6,-1.7087217578283418,0.00910873741948965,5.192523574042992,-12.26086956521739,1.0,13.26086956521739,True
cluster_1004,5,0.11595665213538102,0.11807055435565159,0.051463777102591195,0.06397356828193823,0.16691068814055632,0.10293711985861809,False
cluster_1005,29,0.1545527845979546,0.14285714285714285,0.205949800001257,-0.22051428571428566,1.0,1.2205142857142857,True
cluster_1006,6,0.038795570217425565,0.1192392889945432,0.1728105346645311,-0.30619365609348903,0.13132400430570496,0.437517660399194,True
cluster_1007,9,0.22511592248444673,0.16949832775919735,0.2582538112100342,0.04306220095693773,0.898989898989899,0.8559276980329613,True
cluster_1008,3,0.12263439249313303,0.14806741573033708,0.06179595291760261,0.052180451127819584,0.16765531062124245,0.11547485949342287,False
cluster_1009,20,0.20059912643456368,0.20070878415551072,0.21729484111185848,-0.08682983682983673,1.0,1.0868298368298368,True
cluster_101,2,0.6534666666666666,0.6534666666666666,0.49007213981435643,0.3069333333333334,1.0,0.6930666666666666,True
cluster_1010,14,0.5379497887757447,0.27235772357723576,0.4194547781215315,0.0350626566416041,1.0,0.9649373433583959,True
cluster_1011,3,1.0,1.0,0.0,1.0,1.0,0.0,False
cluster_1012,11,0.35693706415951726,0.22909708737864087,0.31874884205760534,0.1518881856540084,1.0,0.8481118143459916,True
cluster_1013,8,0.6182561959654178,0.6234,0.4081753815753865,0.2262247838616715,1.0,0.7737752161383284,True
cluster_1014,8,0.10257147911068062,0.11625708884688085,0.04403412061980271,0.018789144050104355,0.1530054644808743,0.13421632043076995,False
cluster_1015,20,0.17828316370009273,0.16666666666666666,0.077244849082261,0.043715846994535554,0.39828080229226365,0.3545649552977281,False
cluster_1016,4,0.5635254925665962,0.5866646813579511,0.5054118317505389,0.08077260755048286,1.0,0.9192273924495171,True
cluster_1017,16,0.9503561226065472,1.0,0.19857550957381104,0.20569796170475607,1.0,0.7943020382952439,True
cluster_1018,13,0.8785663496167698,1.0,0.2964158675414029,0.2106782713085234,1.0,0.7893217286914767,True
cluster_1019,19,0.7549191101261344,1.0,0.37080865689813686,0.20020964360586996,1.0,0.79979035639413,True
cluster_102,4,0.3650606220961128,0.1612023252733066,0.42372963209292025,0.13783783783783787,1.0,0.8621621621621621,True
cluster_1020,34,0.8626929880990678,1.0,0.3015323901723965,0.16258215962441314,1.0,0.8374178403755869,True
cluster_1022,18,0.6996134769876536,1.0,0.38751942781576537,0.2067059690493736,1.0,0.7932940309506264,True
cluster_1023,4,0.21573770491803274,0.21573770491803274,0.0,0.21573770491803274,0.21573770491803274,0.0,False
cluster_1024,5,0.20804182459838963,0.16666666666666663,0.08036062464679866,0.13978494623655918,0.30051813471502586,0.16073318847846668,False
cluster_1025,5,1.0,1.0,0.0,1.0,1.0,0.0,False
cluster_1026,56,0.7559413235986804,1.0,0.3941321826257045,-0.15879163439194427,1.0,1.1587916343919442,True
cluster_1027,8,0.5622423891235713,0.6047745358090186,0.47670614125158367,-0.0808383233532935,1.0,1.0808383233532934,True
cluster_1028,4,0.3471698113207547,0.3471698113207547,0.0,0.3471698113207547,0.3471698113207547,0.0,False
cluster_1029,8,0.678658950964932,0.6890932642487047,0.3438900481796318,0.33644927536231883,1.0,0.6635507246376812,True
