product_code,cluster,cluster_id
100733,1017,refined_cluster_cluster_1017
10073306,1018,refined_cluster_cluster_1018
10600580,1018,refined_cluster_cluster_1018
10600581,1018,refined_cluster_cluster_1018
10600581,1018,refined_cluster_cluster_1018
10637,1018,refined_cluster_cluster_1018
10636557,1018,refined_cluster_cluster_1018
10636556,1018,refined_cluster_cluster_1018
10636546,1018,refined_cluster_cluster_1018
1063652,1018,refined_cluster_cluster_1018
10636510,1018,refined_cluster_cluster_1018
10636530,1018,refined_cluster_cluster_1018
10067956,1027,refined_cluster_cluster_1027
10067564,1027,refined_cluster_cluster_1027
10067563,1027,refined_cluster_cluster_1027
10067999,1027,refined_cluster_cluster_1027
10067954,1027,refined_cluster_cluster_1027
10067620,1027,refined_cluster_cluster_1027
10061120,1027,refined_cluster_cluster_1027
1006756P,1027,refined_cluster_cluster_1027
1004654,1012,refined_cluster_cluster_1012
10069C,1012,refined_cluster_cluster_1012
100690JB,1012,refined_cluster_cluster_1012
1006901P,1012,refined_cluster_cluster_1012
10069804,1012,refined_cluster_cluster_1012
10069805,1012,refined_cluster_cluster_1012
10069803,1012,refined_cluster_cluster_1012
10069806,1012,refined_cluster_cluster_1012
100691JB,1012,refined_cluster_cluster_1012
10261308,1016,refined_cluster_cluster_1016
10260850,1016,refined_cluster_cluster_1016
10261204,1016,refined_cluster_cluster_1016
10260851,1016,refined_cluster_cluster_1016
10636686,459,refined_cluster_cluster_459
10636686,459,refined_cluster_cluster_459
10261978,459,refined_cluster_cluster_459
10261977,459,refined_cluster_cluster_459
1028307,1022,refined_cluster_cluster_1022
10660937,1022,refined_cluster_cluster_1022
10652676,1022,refined_cluster_cluster_1022
10038165,1022,refined_cluster_cluster_1022
10283P,1022,refined_cluster_cluster_1022
10661014,1022,refined_cluster_cluster_1022
10284010,1022,refined_cluster_cluster_1022
10660917,1022,refined_cluster_cluster_1022
10660936,1022,refined_cluster_cluster_1022
1028317,1022,refined_cluster_cluster_1022
10660929,1022,refined_cluster_cluster_1022
10660,1022,refined_cluster_cluster_1022
10660982,1022,refined_cluster_cluster_1022
10660920,1022,refined_cluster_cluster_1022
10305846,1022,refined_cluster_cluster_1022
10660912,1022,refined_cluster_cluster_1022
10661016,1022,refined_cluster_cluster_1022
10660919,1022,refined_cluster_cluster_1022
1038701,195,refined_cluster_cluster_195
10387012,195,refined_cluster_cluster_195
1038701,195,refined_cluster_cluster_195
10387879,195,refined_cluster_cluster_195
10672666,411,refined_cluster_cluster_411
10672890,411,refined_cluster_cluster_411
10672896,411,refined_cluster_cluster_411
10672898,411,refined_cluster_cluster_411
10672894,411,refined_cluster_cluster_411
10651841,411,refined_cluster_cluster_411
10672012,411,refined_cluster_cluster_411
10672308,411,refined_cluster_cluster_411
10672410,411,refined_cluster_cluster_411
10371038,411,refined_cluster_cluster_411
10371030,411,refined_cluster_cluster_411
10371035,411,refined_cluster_cluster_411
10441S99,416,refined_cluster_cluster_416
104410,416,refined_cluster_cluster_416
104411,416,refined_cluster_cluster_416
12271,416,refined_cluster_cluster_416
1016404,548,refined_cluster_cluster_548
10165389,548,refined_cluster_cluster_548
1016404,548,refined_cluster_cluster_548
10165395,548,refined_cluster_cluster_548
10165391,548,refined_cluster_cluster_548
1044564,472,refined_cluster_cluster_472
1044610,472,refined_cluster_cluster_472
1044565,472,refined_cluster_cluster_472
1044566,472,refined_cluster_cluster_472
1044805,473,refined_cluster_cluster_473
10443FL,473,refined_cluster_cluster_473
10447P1,473,refined_cluster_cluster_473
10448PZ,473,refined_cluster_cluster_473
10444FL,473,refined_cluster_cluster_473
10446AM,473,refined_cluster_cluster_473
1039A2EK,97,refined_cluster_cluster_97
1040168,97,refined_cluster_cluster_97
10400924,97,refined_cluster_cluster_97
10400915,97,refined_cluster_cluster_97
10400912,97,refined_cluster_cluster_97
1039A1EL,97,refined_cluster_cluster_97
1040168,97,refined_cluster_cluster_97
10400924,97,refined_cluster_cluster_97
10400915,97,refined_cluster_cluster_97
10400912,97,refined_cluster_cluster_97
1039A1EL,97,refined_cluster_cluster_97
10423885,186,refined_cluster_cluster_186
10510,186,refined_cluster_cluster_186
10512,186,refined_cluster_cluster_186
10440333,214,refined_cluster_cluster_214
10440HU1,214,refined_cluster_cluster_214
10440H1,214,refined_cluster_cluster_214
10365330,214,refined_cluster_cluster_214
1044011,532,refined_cluster_cluster_532
104403,532,refined_cluster_cluster_532
1044702,532,refined_cluster_cluster_532
1044024,532,refined_cluster_cluster_532
